"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,12 Jun 2022 08:55:54.993,12 Jun 2022 09:01:15.282,320.290
2,12 Jun 2022 10:29:11.173,12 Jun 2022 10:39:45.082,633.909
3,12 Jun 2022 12:05:48.833,12 Jun 2022 12:16:33.249,644.416
4,12 Jun 2022 13:43:29.714,12 Jun 2022 13:53:37.273,607.559
5,12 Jun 2022 15:20:47.464,12 Jun 2022 15:31:17.613,630.149
6,12 Jun 2022 16:57:34.106,12 Jun 2022 17:08:26.483,652.377
7,12 Jun 2022 18:35:02.387,12 Jun 2022 18:43:16.309,493.922
8,13 Jun 2022 09:41:08.079,13 Jun 2022 09:51:09.350,601.272
9,13 Jun 2022 11:17:12.457,13 Jun 2022 11:28:05.351,652.894
10,13 Jun 2022 12:54:46.681,13 Jun 2022 13:05:00.103,613.422
11,13 Jun 2022 14:32:15.285,13 Jun 2022 14:42:34.236,618.950
12,13 Jun 2022 16:09:05.851,13 Jun 2022 16:20:00.761,654.910
13,13 Jun 2022 17:46:10.750,13 Jun 2022 17:55:40.083,569.332
14,14 Jun 2022 08:53:19.746,14 Jun 2022 09:02:25.633,545.887
15,14 Jun 2022 10:28:42.084,14 Jun 2022 10:39:37.664,655.580
16,14 Jun 2022 12:06:02.874,14 Jun 2022 12:16:26.145,623.271
17,14 Jun 2022 13:43:40.051,14 Jun 2022 13:53:50.623,610.571
18,14 Jun 2022 15:20:38.169,14 Jun 2022 15:31:27.984,649.814
19,14 Jun 2022 16:57:30.514,14 Jun 2022 17:07:45.728,615.214
20,14 Jun 2022 18:37:32.759,14 Jun 2022 18:39:13.467,100.708
21,15 Jun 2022 08:05:52.540,15 Jun 2022 08:13:27.475,454.935
22,15 Jun 2022 09:40:19.409,15 Jun 2022 09:51:08.857,649.448
23,15 Jun 2022 11:17:19.968,15 Jun 2022 11:27:55.055,635.088
24,15 Jun 2022 12:55:01.582,15 Jun 2022 13:05:08.351,606.770
25,15 Jun 2022 14:32:09.819,15 Jun 2022 14:42:49.866,640.047
26,15 Jun 2022 16:08:56.788,15 Jun 2022 16:19:38.066,641.279
27,15 Jun 2022 17:47:01.277,15 Jun 2022 17:53:29.324,388.047
28,16 Jun 2022 07:19:05.888,16 Jun 2022 07:23:55.344,289.455
29,16 Jun 2022 08:52:06.278,16 Jun 2022 09:02:37.298,631.020
30,16 Jun 2022 10:28:39.777,16 Jun 2022 10:39:26.105,646.328
31,16 Jun 2022 12:06:20.242,16 Jun 2022 12:16:28.575,608.332
32,16 Jun 2022 13:43:39.743,16 Jun 2022 13:54:08.175,628.432
33,16 Jun 2022 15:20:26.796,16 Jun 2022 15:31:19.844,653.049
34,16 Jun 2022 16:57:50.971,16 Jun 2022 17:06:17.473,506.501
35,17 Jun 2022 08:04:04.982,17 Jun 2022 08:14:00.717,595.735
36,17 Jun 2022 09:40:04.097,17 Jun 2022 09:50:58.346,654.249
37,17 Jun 2022 11:17:36.941,17 Jun 2022 11:27:51.921,614.980
38,17 Jun 2022 12:55:07.094,17 Jun 2022 13:05:24.721,617.627
39,17 Jun 2022 14:31:58.657,17 Jun 2022 14:42:53.074,654.417
40,17 Jun 2022 16:09:01.336,17 Jun 2022 16:18:38.298,576.961
41,18 Jun 2022 07:16:19.072,18 Jun 2022 07:25:15.516,536.443
42,18 Jun 2022 08:51:34.656,18 Jun 2022 09:02:30.613,655.957
43,18 Jun 2022 10:28:53.097,18 Jun 2022 10:39:18.451,625.354
44,18 Jun 2022 12:06:31.329,18 Jun 2022 12:16:41.278,609.949
45,18 Jun 2022 13:43:30.893,18 Jun 2022 13:54:19.497,648.604
46,18 Jun 2022 15:20:22.195,18 Jun 2022 15:30:41.899,619.703

